Country Name,EA_BACHELOR_Female,EA_BACHELOR_Male,EA_POSTSEC_Female,EA_POSTSEC_Male,EA_SECONDARY_Female,EA_SECONDARY_Male,EMPLOYMENT_Female,EMPLOYMENT_Male,GDP,GNI_Atlas,GNI_PPP,LFP_Female,LFP_Male,LFP_Ratio,UNEMPLOYMENT_Female,UNEMPLOYMENT_Male,WBL_Index,WBL_MIS,WBL_PIS,WBL_WIS,GPLFP,GPETP,GPULF,EOGEI,EAGPI_secondary,EAGPI_postsec,EAGPI_bachelor,EAGPI_overall
Afghanistan,"1,54","6,56","2,54","6,04","5,71","19,85","3,77","60,91","372,62","360,00","2100,00","5,15","70,15","7,35","26,75","13,17","31,88","25,00","0,00","50,00","7,35","6,20","49,24","20,93","0,29","0,42","0,23","0,31"
Australia,"40,02","33,54","58,44","49,11","80,71","82,66","59,11","68,42","60972,87","60820,00","62900,00","61,33","71,10","86,26","3,63","3,76","96,88","100,00","100,00","100,00","86,26","86,38","103,66","92,10","0,98","1,19","1,19","1,12"
Azerbaijan,"16,39","18,97","31,63","33,67","92,66","93,15","62,77","69,59","5595,26","5670,00","21020,00","67,15","73,09","91,87","6,52","4,79","78,75","100,00","0,00","100,00","91,87","90,21","73,54","85,21","0,99","0,94","0,86","0,93"
Bahrain,"35,73","26,26","47,02","37,21","72,72","63,55","41,99","86,62","24353,07","27710,00","57970,00","43,85","87,09","50,35","4,22","0,53","68,12","50,00","100,00","75,00","50,35","48,47","12,60","37,14","1,14","1,26","1,36","1,26"
Belgium,"41,25","37,42","43,12","39,76","74,08","76,22","48,16","56,06","44198,20","53890,00","69310,00","50,83","59,53","85,38","5,25","5,83","100,00","100,00","100,00","100,00","85,38","85,90","110,97","94,08","0,97","1,08","1,10","1,05"
Bhutan,"18,57","21,88","22,14","25,87","42,29","41,86","59,75","71,00","3336,38","3590,00","14240,00","64,93","74,27","87,42","7,97","4,40","75,00","100,00","100,00","100,00","87,42","84,15","55,19","75,59","1,01","0,86","0,85","0,90"
Bosnia and Herzegovina,"12,67","11,89","15,15","15,13","62,75","82,55","34,07","54,05","6270,86","7650,00","20760,00","40,30","60,53","66,58","15,46","10,71","85,00","100,00","50,00","100,00","66,58","63,04","69,28","66,30","0,76","1,00","1,07","0,94"
Brunei Darussalam,"20,40","15,05","38,78","36,16","68,14","69,33","51,84","70,55","28954,06","31410,00","81060,00","55,15","73,00","75,54","5,92","4,68","53,12","50,00","75,00","25,00","75,54","73,49","79,09","76,04","0,98","1,07","1,36","1,14"
Bulgaria,"30,28","22,10","30,56","22,50","78,04","80,73","48,54","60,29","9550,94","13350,00","34300,00","50,60","63,10","80,19","4,06","4,45","90,62","100,00","100,00","100,00","80,19","80,52","109,76","90,16","0,97","1,36","1,37","1,23"
Canada,"33,86","30,79","68,60","65,90","89,64","88,69","57,82","65,41","45227,14","53300,00","61230,00","60,95","69,15","88,14","5,14","5,41","100,00","100,00","100,00","100,00","88,14","88,39","105,25","93,93","1,01","1,04","1,10","1,05"
Croatia,"21,04","16,85","24,61","20,69","75,28","85,17","43,09","54,62","16712,04","19650,00","42510,00","46,80","58,20","80,41","7,91","6,14","93,75","100,00","100,00","100,00","80,41","78,89","77,61","78,97","0,88","1,19","1,25","1,11"
Cyprus,"33,21","33,12","45,52","41,27","77,03","78,33","54,82","66,59","30556,72","31520,00","49730,00","59,44","70,80","83,94","7,78","5,99","94,38","100,00","75,00","100,00","83,94","82,32","77,01","81,09","0,98","1,10","1,00","1,03"
Czechia,"21,02","20,92","23,56","22,09","88,19","94,32","50,78","66,71","20237,29","26140,00","49350,00","52,22","67,93","76,88","2,77","1,79","93,75","100,00","100,00","100,00","76,88","76,12","64,64","72,55","0,93","1,07","1,00","1,00"
Denmark,"37,84","27,42","42,14","32,60","77,25","76,34","56,77","64,49","60345,56","73520,00","80530,00","59,44","67,45","88,13","4,49","4,38","100,00","100,00","100,00","100,00","88,13","88,03","97,48","91,21","1,01","1,29","1,38","1,23"
Estonia,"37,95","26,58","57,68","39,16","88,28","84,39","57,13","66,51","21141,00","27200,00","46760,00","60,17","70,81","84,98","5,06","6,07","97,50","100,00","100,00","100,00","84,98","85,89","119,86","96,91","1,05","1,47","1,43","1,32"
Finland,"31,15","26,36","43,74","35,05","82,51","80,13","53,61","59,13","46655,17","54730,00","63180,00","57,26","63,62","90,00","6,37","7,05","97,50","100,00","100,00","100,00","90,00","90,66","110,68","97,11","1,03","1,25","1,18","1,15"
France,"22,70","22,39","36,36","33,88","72,23","76,84","48,77","55,68","38816,48","45290,00","58610,00","52,52","60,18","87,28","7,14","7,47","100,00","100,00","100,00","100,00","87,28","87,59","104,65","93,17","0,94","1,07","1,01","1,01"
