Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Afghanistan,AFG,31.875
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Albania,ALB,91.25
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Algeria,DZA,57.5
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,American Samoa,ASM,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Andorra,AND,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Armenia,ARM,87.5
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Australia,AUS,96.875
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Austria,AUT,96.875
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Azerbaijan,AZE,78.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Bahrain,BHR,68.125
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Bangladesh,BGD,49.375
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Belarus,BLR,75.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Belgium,BEL,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Bermuda,BMU,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Bhutan,BTN,75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Bosnia and Herzegovina,BIH,85
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Brunei Darussalam,BRN,53.125
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Bulgaria,BGR,90.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Cambodia,KHM,81.25
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Canada,CAN,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Channel Islands,CHI,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,China,CHN,78.125
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Croatia,HRV,93.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Cyprus,CYP,94.375
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Czechia,CZE,93.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Denmark,DNK,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Djibouti,DJI,71.25
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,"Egypt, Arab Rep.",EGY,50.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Estonia,EST,97.5
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Faroe Islands,FRO,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Fiji,FJI,82.5
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Finland,FIN,97.5
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,France,FRA,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,French Polynesia,PYF,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Georgia,GEO,88.125
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Germany,DEU,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Gibraltar,GIB,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Greece,GRC,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Greenland,GRL,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Guam,GUM,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,"Hong Kong SAR, China",HKG,91.875
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Hungary,HUN,93.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Iceland,ISL,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,India,IND,74.375
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Indonesia,IDN,70.625
